event_id,parent_event_id,task_id,ts_utc,actor_role,event_type,state,decision,result,summary,artifact_ref,proof_ref,ci_ref,log_ref,error_class,error_details,next_role,next_action,protocol_version,commit_sha,stall_class,infra_scope,causation_id,correlation_id,idempotency_key,producer,producer_run_id
SYSTEM-BOOTSTRAP-20260413T120000Z,,SYSTEM-BOOTSTRAP-V3_6_RC2,2026-04-13T12:00:00Z,SYSTEM,SYSTEM_BOOTSTRAP,CLOSED,CONFIRM,SUCCESS,Bootstrap canonical autonomous contour for PROTOCOL v3.6-RC2,governance/PROTOCOL.md,governance/bootstrap/bootstrap_event_v3_6_rc2.json,,,,,EXECUTOR,PROPOSE_TASK,v3.6-RC2,,,CORE,SYSTEM-BOOTSTRAP-20260413T120000Z,CORR-BOOTSTRAP-V3_6_RC2-0001,IDEMP-BOOTSTRAP-V3_6_RC2-0001,SYSTEM_BOOTSTRAP_WORKFLOW,BOOTSTRAP-MAIN-20260413-0001
EXECUTOR-MATERIALIZED-SYSTEM-BOOTSTRAP-V3_6_RC2-20260413T124004Z,SYSTEM-BOOTSTRAP-20260413T120000Z,SYSTEM-BOOTSTRAP-V3_6_RC2,2026-04-13T12:40:04Z,EXECUTOR,TASK_PROPOSED,AUDIT_PENDING,,SUCCESS,Executor materialized canonical proposal in smoke cycle,governance/proposals/SYSTEM-BOOTSTRAP-V3_6_RC2.md,.runtime/executor_materialize_result.json,,,,,AUDITOR,REVIEW_TASK,v3.6-RC2,,,CORE,SYSTEM-BOOTSTRAP-20260413T120000Z,CORR-SYSTEM-BOOTSTRAP-V3_6_RC2,EXECUTOR-MATERIALIZED-SYSTEM-BOOTSTRAP-V3_6_RC2-20260413T124004Z,CANONICAL_SMOKE_CYCLE,SMOKE-EXECUTOR-SYSTEM-BOOTSTRAP-V3_6_RC2
AUDITOR-MATERIALIZED-SYSTEM-BOOTSTRAP-V3_6_RC2-20260413T124005Z,EXECUTOR-MATERIALIZED-SYSTEM-BOOTSTRAP-V3_6_RC2-20260413T124004Z,SYSTEM-BOOTSTRAP-V3_6_RC2,2026-04-13T12:40:05Z,AUDITOR,AUDIT_DECISION,APPROVED,APPROVE,SUCCESS,Auditor approved canonical proposal in smoke cycle,governance/decisions/DECISION-SYSTEM-BOOTSTRAP-V3_6_RC2-20260413T124005Z.md,.runtime/auditor_materialize_result.json,,,,,EXECUTOR,WRITE_PLAN,v3.6-RC2,,,CORE,EXECUTOR-MATERIALIZED-SYSTEM-BOOTSTRAP-V3_6_RC2-20260413T124004Z,CORR-SYSTEM-BOOTSTRAP-V3_6_RC2,AUDITOR-MATERIALIZED-SYSTEM-BOOTSTRAP-V3_6_RC2-20260413T124005Z,CANONICAL_SMOKE_CYCLE,SMOKE-AUDITOR-SYSTEM-BOOTSTRAP-V3_6_RC2
AUDITOR-MATERIALIZED-SYSTEM-BOOTSTRAP-V3_6_RC2-20260425T034613Z,EXECUTOR-MATERIALIZED-SYSTEM-BOOTSTRAP-V3_6_RC2-20260413T124004Z,SYSTEM-BOOTSTRAP-V3_6_RC2,2026-04-25T03:46:13Z,AUDITOR,AUDIT_DECISION,APPROVED,APPROVE,SUCCESS,Auditor materialized canonical decision for REVIEW_TASK,governance/decisions/DECISION-SYSTEM-BOOTSTRAP-V3_6_RC2-20260424T191351Z.md,.runtime/auditor_materialize_result.json,,,,,EXECUTOR,WRITE_PLAN,v3.6-RC2,,,CORE,EXECUTOR-MATERIALIZED-SYSTEM-BOOTSTRAP-V3_6_RC2-20260413T124004Z,CORR-SYSTEM-BOOTSTRAP-V3_6_RC2,AUDITOR-MATERIALIZED-SYSTEM-BOOTSTRAP-V3_6_RC2-20260425T034613Z,AUDITOR_LEDGER_RETURN_WORKFLOW,AUDITOR-RETURN-SYSTEM-BOOTSTRAP-V3_6_RC2
EXECUTOR-MATERIALIZED-SYSTEM-BOOTSTRAP-V3_6_RC2-20260425T040133Z,SYSTEM-BOOTSTRAP-20260413T120000Z,SYSTEM-BOOTSTRAP-V3_6_RC2,2026-04-25T04:01:33Z,EXECUTOR,TASK_PROPOSED,AUDIT_PENDING,,SUCCESS,Executor materialized canonical artifact for PROPOSE_TASK,governance/proposals/SYSTEM-BOOTSTRAP-V3_6_RC2.md,.runtime/executor_materialize_result.json,,,,,AUDITOR,REVIEW_TASK,v3.6-RC2,,,CORE,SYSTEM-BOOTSTRAP-20260413T120000Z,CORR-SYSTEM-BOOTSTRAP-V3_6_RC2,EXECUTOR-MATERIALIZED-SYSTEM-BOOTSTRAP-V3_6_RC2-20260425T040133Z,EXECUTOR_LEDGER_RETURN_WORKFLOW,EXECUTOR-RETURN-SYSTEM-BOOTSTRAP-V3_6_RC2
